,Price
1086,4101.0
1087,4043.0
1088,3941.0
1089,4156.0
1090,4202.0
1091,4367.0
1092,4323.0
1093,4349.0
1094,4316.0
1095,4473.0
1096,4586.0
1097,4677.0
1098,4808.0
1099,4694.0
1100,4601.0
1101,4402.0
1102,4290.0
1103,4564.0
1104,4613.0
1105,4509.0
1106,4327.0
1107,4224.0
1108,4239.0
1109,4271.0
1110,3956.0
1111,3648.0
1112,3430.0
1113,3733.0
1114,3669.0
1115,3962.0
1116,3978.0
1117,3958.0
1118,3811.0
1119,3645.0
1120,3735.0
1121,3713.0
1122,3832.0
1123,3928.0
1124,4045.0
1125,4200.0
1126,4156.0
1127,4290.0
1128,4323.0
1129,4421.0
1130,4326.0
1131,4263.0
1132,4268.0
1133,4372.0
1134,4364.0
1135,4508.0
1136,4655.0
1137,4825.0
1138,4796.0
1139,5076.0
1140,5611.0
1141,5677.0
1142,5632.0
1143,5680.0
1144,5633.0
1145,5398.0
1146,5656.0
1147,5788.0
1148,6077.0
1149,5919.0
1150,5877.0
1151,5662.0
1152,5546.0
1153,5824.0
1154,5824.0
1155,5755.0
1156,5882.0
1157,6122.0
1158,6244.0
1159,6507.0
1160,6963.0
1161,7240.0
1162,7264.0
1163,7472.0
1164,7254.0
1165,7113.0
1166,7383.0
1167,7250.0
1168,6951.0
1169,6549.0
1170,6115.0
1171,6345.0
1172,6601.0
1173,7074.0
1174,7462.0
1175,7840.0
1176,7705.0
1177,7832.0
1178,8112.0
1179,8178.0
1180,8206.0
1181,8184.0
1182,8168.0
1183,8464.0
1184,9041.0
1185,9607.0
1186,9867.0
1187,10480.0
1188,9996.0
1189,10236.0
1190,10976.0
1191,11320.0
1192,11414.0
1193,11716.0
1194,12656.0
1195,15282.0
1196,16326.0
1197,15335.0
1198,14558.0
1199,16561.0
1200,16914.0
1201,16746.0
1202,16521.0
1203,17543.0
1204,18334.0
1205,19401.0
1206,18854.0
1207,18319.0
1208,16899.0
1209,16311.0
1210,14030.0
1211,15086.0
1212,13698.0
1213,13825.0
1214,15224.0
1215,15712.0
1216,14342.0
1217,14598.0
1218,13277.0
1219,13402.0
1220,13523.0
1221,13924.0
1222,15027.0
1223,14883.0
1224,15881.0
1225,16784.0
1226,16733.0
1227,15476.0
1228,15041.0
1229,14328.0
1230,13863.0
1231,13850.0
1232,14363.0
1233,13821.0
1234,13932.0
1235,12255.0
1236,10747.0
1237,11561.0
1238,11560.0
1239,12544.0
1240,11984.0
1241,11217.0
1242,10800.0
1243,11094.0
1244,11384.0
1245,11085.0
1246,11294.0
1247,11710.0
1248,11372.0
1249,10781.0
1250,10154.0
1251,9755.0
1252,8748.0
1253,9091.0
1254,8826.0
1255,7704.0
1256,6852.0
1257,7933.0
1258,8256.0
1259,8300.0
1260,8691.0
1261,8234.0
1262,8662.0
1263,8657.0
1264,9055.0
1265,9838.0
1266,10058.0
1267,10713.0
1268,10772.0
1269,10902.0
1270,11551.0
1271,10851.0
1272,10325.0
1273,10046.0
1274,9975.0
1275,9649.0
1276,9939.0
1277,10575.0
1278,10607.0
1279,10666.0
1280,11002.0
1281,11365.0
1282,11271.0
1283,11537.0
1284,11051.0
1285,10428.0
1286,9724.0
1287,8927.0
1288,9252.0
1289,9065.0
1290,9457.0
1291,9170.0
1292,8789.0
1293,8124.0
1294,8327.0
1295,8099.0
1296,7696.0
1297,8360.0
1298,8641.0
1299,9002.0
1300,8809.0
1301,8549.0
1302,8881.0
1303,8559.0
1304,8236.0
1305,7983.0
1306,7940.0
1307,7548.0
1308,6908.0
