Date,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Cleared Volume (MW),Finale Scheduled Volume (MW),MCP (Rs/MWh)
2020-01-02 16:30:00,9421.9,10047.4,7749.3,7745.8,7745.8,3400.33
2020-01-02 16:45:00,9714.7,10675.7,7937.3,7937.3,7937.3,3537.23
2020-01-02 17:00:00,9642.5,11386.2,8082.5,8073.7,8073.7,3353.48
2020-01-02 17:15:00,10048.7,11568.5,8237.1,8228.3,8228.3,3559.86
2020-01-02 17:30:00,10433.2,11019.0,8464.0,8464.0,8464.0,3742.93
2020-01-02 17:45:00,10323.2,11298.2,8307.5,8307.5,8307.5,3537.27
2020-01-02 18:00:00,8948.1,10685.2,8108.3,8099.5,8099.5,3559.9
2020-01-02 18:15:00,9362.4,10944.8,8324.7,8315.9,8315.9,3559.54
2020-01-02 18:30:00,9163.6,11505.9,8504.1,8495.3,8495.3,3199.09
2020-01-02 18:45:00,8516.3,12124.7,7908.2,7899.4,7899.4,3009.95
2020-01-02 19:00:00,9051.0,12555.4,8415.45,8415.45,8415.45,3150.92
2020-01-02 19:15:00,9867.9,12496.8,9096.8,9096.8,9096.8,3500.14
2020-01-02 19:30:00,10450.7,12768.7,9535.9,9534.5,9534.5,3700.82
2020-01-02 19:45:00,10706.1,13096.4,9769.5,9769.5,9769.5,3600.96
2020-01-02 20:00:00,10538.9,14023.9,9826.3,9817.5,9817.5,3480.47
2020-01-02 20:15:00,10093.2,14849.9,9447.8,9439.0,9439.0,3179.85
2020-01-02 20:30:00,9799.4,15457.6,9151.5,9142.7,9142.7,3179.15
2020-01-02 20:45:00,9498.9,15931.0,8888.6,8879.8,8879.8,3139.26
2020-01-02 21:00:00,8328.9,16285.7,7715.8,7707.0,7707.0,3009.61
2020-01-02 21:15:00,7482.4,16587.5,7009.9,7001.1,7001.1,2889.82
2020-01-02 21:30:00,6580.2,17147.2,6106.6,6097.8,6097.8,2873.35
2020-01-02 21:45:00,5883.0,17542.2,5429.8,5421.0,5421.0,2689.65
2020-01-02 22:00:00,5340.8,17994.5,4328.7,4307.46,4307.46,2399.01
2020-01-02 22:15:00,5107.2,17816.6,4064.4,4009.55,4009.55,2497.27
2020-01-02 22:30:00,5159.1,18229.8,4117.0,4083.21,4083.21,2486.26
2020-01-02 22:45:00,5264.1,18201.7,4235.25,4207.3,4207.3,2402.42
2020-01-02 23:00:00,4755.5,19452.0,4120.2,4111.4,4111.4,2088.7
2020-01-02 23:15:00,4841.2,19755.3,4205.8,4197.0,4197.0,2088.3
2020-01-02 23:30:00,4988.6,20041.2,4350.3,4341.5,4341.5,2084.72
2020-01-02 23:45:00,5039.8,20100.3,4427.3,4407.42,4407.42,2033.36
2020-01-03 00:00:00,5305.5,20152.4,5034.4,4999.6,4999.6,1999.6
2020-01-03 00:15:00,5402.6,20800.3,5131.5,5096.7,5096.7,1999.5
2020-01-03 00:30:00,5402.0,21893.4,5131.9,4826.5,4826.5,1999.36
2020-01-03 00:45:00,5450.6,22526.3,5180.5,4825.3,4825.3,1992.68
2020-01-03 01:00:00,5443.3,24304.9,5193.17,4632.5,4632.5,1950.54
